subdir frame_num face_height face_width face_x_center face_y_center roll pitch yaw attention_label
HH0717-rgb_2017_2_4_21_0_0 1390 220 142 1366 591 7 7 2 1
HH0717-rgb_2017_2_4_21_0_0 1145 NA NA NA NA NA NA NA 0
HH0717-rgb_2017_2_4_21_0_0 1970 200 164 1266 602 0 8 -6 1
HH0717-rgb_2017_2_4_21_0_0 1780 179 127 1319 596 10 7 -27 1
HH0717-rgb_2017_2_4_21_0_0 105 207 209 1299 640 -8 5 65 0
HH0717-rgb_2017_2_4_21_0_0 850 NA NA NA NA NA NA NA 0
HH0717-rgb_2017_2_4_21_0_0 110 207 209 1302 643 -6 8 74 0
HH0717-rgb_2017_2_4_21_0_0 1795 168 128 1319 614 -1 9 -37 1
HH0717-rgb_2017_2_4_21_0_0 1965 193 159 1276 602 -5 10 -14 1
HH0717-rgb_2017_2_4_21_0_0 1805 175 134 1316 625 -6 12 -27 1
HH0717-rgb_2017_2_4_21_0_0 1150 184 130 1371 673 3 7 -44 0
HH0717-rgb_2017_2_4_21_0_0 1150 NA NA NA NA NA NA NA 0
HH0717-rgb_2017_2_4_21_0_0 925 NA NA NA NA NA NA NA 0
HH0717-rgb_2017_2_4_21_0_0 1385 208 133 1363 591 11 3 -14 1
HH0717-rgb_2017_2_4_21_0_0 2115 175 122 1321 596 8 2 -5 2
HH0717-rgb_2017_2_4_21_0_0 700 NA NA NA NA NA NA NA 1
HH0717-rgb_2017_2_4_21_0_0 1350 197 142 1319 599 0 7 -38 1
HH0717-rgb_2017_2_4_21_0_0 270 192 204 1305 655 1 -6 75 1
HH0717-rgb_2017_2_4_21_0_0 1185 NA NA NA NA NA NA NA 0
HH0717-rgb_2017_2_4_21_0_0 310 163 126 1343 687 -8 0 -10 0
HH0717-rgb_2017_2_4_21_0_0 660 NA NA NA NA NA NA NA 0
HH0717-rgb_2017_2_4_21_0_0 885 NA NA NA NA NA NA NA 0
HH0717-rgb_2017_2_4_21_0_0 1755 182 149 1301 617 -6 16 -14 1
HH0717-rgb_2017_2_4_21_0_0 305 149 123 1338 678 -4 -3 -6 0
HH0717-rgb_2017_2_4_21_0_0 1635 195 136 1313 593 10 -5 -32 1
HH0717-rgb_2017_2_4_21_0_0 2300 212 127 1395 591 -12 -20 8 2
HH0717-rgb_2017_2_4_21_0_0 265 196 201 1314 661 -5 0 68 1
HH0717-rgb_2017_2_4_21_0_0 1345 189 140 1317 596 -4 10 -42 1
HH0717-rgb_2017_2_4_21_0_0 715 NA NA NA NA NA NA NA 0
HH0717-rgb_2017_2_4_21_0_0 1355 191 139 1317 599 0 7 -37 1
HH0717-rgb_2017_2_4_21_0_0 705 NA NA NA NA NA NA NA 1
HH0717-rgb_2017_2_4_21_0_0 1625 183 120 1316 599 7 11 -2 1
HH0717-rgb_2017_2_4_21_0_0 275 193 180 1321 663 5 0 59 1
HH0717-rgb_2017_2_4_21_0_0 1180 NA NA NA NA NA NA NA 0
HH0717-rgb_2017_2_4_21_0_0 315 157 126 1340 687 -4 -4 0 0
HH0717-rgb_2017_2_4_21_0_0 2270 198 143 1362 617 -3 11 -19 2
HH0717-rgb_2017_2_4_21_0_0 665 NA NA NA NA NA NA NA 0
HH0717-rgb_2017_2_4_21_0_0 670 NA NA NA NA NA NA NA 1
HH0717-rgb_2017_2_4_21_0_0 300 155 126 1340 681 -1 -3 -13 0
HH0717-rgb_2017_2_4_21_0_0 1750 179 140 1305 614 -7 12 2 1
HH0717-rgb_2017_2_4_21_0_0 2305 216 126 1399 591 -8 -16 23 2
HH0717-rgb_2017_2_4_21_0_0 1630 192 139 1308 597 11 5 -11 1
HH0717-rgb_2017_2_4_21_0_0 1340 193 137 1320 593 4 8 -50 1
HH0717-rgb_2017_2_4_21_0_0 1395 213 135 1368 596 10 4 -7 1
HH0717-rgb_2017_2_4_21_0_0 510 NA NA NA NA NA NA NA 0
HH0717-rgb_2017_2_4_21_0_0 1815 176 133 1319 620 -7 9 -34 1
HH0717-rgb_2017_2_4_21_0_0 1020 NA NA NA NA NA NA NA 0
HH0717-rgb_2017_2_4_21_0_0 1785 176 130 1318 605 0 8 -41 1
HH0717-rgb_2017_2_4_21_0_0 1975 201 185 1248 602 -7 14 41 1
HH0717-rgb_2017_2_4_21_0_0 840 NA NA NA NA NA NA NA 0
HH0717-rgb_2017_2_4_21_0_0 1960 203 161 1275 602 -2 10 -10 1
HH0717-rgb_2017_2_4_21_0_0 1790 171 125 1323 617 -6 15 -9 1
HH0717-rgb_2017_2_4_21_0_0 1800 177 130 1321 602 6 9 -32 1
HH0717-rgb_2017_2_4_21_0_0 1155 185 130 1371 672 0 3 -41 0
HH0717-rgb_2017_2_4_21_0_0 1155 NA NA NA NA NA NA NA 0
HH0717-rgb_2017_2_4_21_0_0 1380 208 133 1363 588 11 3 -6 1
HH0717-rgb_2017_2_4_21_0_0 760 NA NA NA NA NA NA NA 0
HH0717-rgb_2017_2_4_21_0_0 1330 194 134 1331 591 4 4 -59 1
HH0717-rgb_2017_2_4_21_0_0 210 213 162 1343 643 -1 15 -20 1
HH0717-rgb_2017_2_4_21_0_0 1640 189 130 1312 593 11 -6 -18 1
HH0717-rgb_2017_2_4_21_0_0 2215 184 134 1316 620 -1 5 -45 2
HH0717-rgb_2017_2_4_21_0_0 1720 181 126 1317 596 8 5 -25 1
